location,huidig,5 jaar extreem beheer,5 jaar geen beheer
854,0,-0.0664,0.167
855,0,-0.0704,0.177
856,0,-0.0736,0.183
857,0,-0.0772,0.192
858,0,-0.0832,0.208
859,0,-0.0868,0.217
860,0,-0.09,0.225
861,0,-0.0944,0.236
862,0,-0.1024,0.256
863,0,-0.1104,0.276
864,0,-0.0984,0.246
865,0,-0.0944,0.236
866,0,-0.0668,0.167
867,0,-0.0348,0.087
868,0,-0.0228,0.057
869,0,-0.0056,0.015
870,0,-0.0068,0.017
871,0,-0.0188,0.045
872,0,-0.0264,0.067
873,0,0.0028,-0.006
874,0,0.0032,-0.009
875,0,0.0004,-0.002
876,0,0,0
877,0,0,0
878,0,0,0
879,0,0,0
880,0,0,0
