location,huidig,5 jaar extreem beheer,5 jaar geen beheer
854,18.9465,18.9631,18.9632
855,18.7601,18.7777,18.7778
856,18.6607,18.6791,18.679
857,18.5734,18.5927,18.5926
858,18.4047,18.4255,18.4255
859,18.3091,18.3308,18.3308
860,18.2238,18.2463,18.2463
861,18.1027,18.1263,18.1263
862,17.8588,17.8844,17.8844
863,17.5286,17.5562,17.5562
864,17.291,17.3156,17.3156
865,17.0028,17.0264,17.0264
866,16.9491,16.9658,16.9658
867,16.7944,16.8031,16.8031
868,16.6855,16.6912,16.6912
869,16.2779,16.2793,16.2794
870,15.88,15.8817,15.8817
871,15.6812,15.6859,15.6857
872,15.5252,15.5318,15.5319
873,15.3586,15.3579,15.358
874,15.1796,15.1788,15.1787
875,15.0783,15.0782,15.0781
876,14.9823,14.9823,14.9823
877,14.8929,14.8929,14.8929
878,14.8189,14.8189,14.8189
879,14.7171,14.7171,14.7171
880,14.6214,14.6214,14.6214
